Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen Is Retail,Access Code,Access Detail Code,Federal Agency Code,Facility Type,CNG Dispenser Num,CNG On-Site Renewable Source,CNG Total Compression Capacity,CNG Storage Capacity,LNG On-Site Renewable Source,E85 Other Ethanol Blends,EV Pricing,EV Pricing (French),LPG Nozzle Types,Hydrogen Pressures,Hydrogen Standards,CNG Fill Type Code,CNG PSI,CNG Vehicle Class,LNG Vehicle Class,EV On-Site Renewable Source,Restricted Access
LPG,U-Haul,5816 Ringgold Rd,West of I-75 S,East Ridge,TN,37412,,423-894-9323,E,,Public,"7am-7pm M-Th and Sat, 7am-8pm F, 9am-5pm Sun",A Cash D M V,,,,,,,,,,GPS,34.990254,-85.21915,2021-06-07,19679,2021-06-07 17:37:37 UTC,P,,,2000-11-01,,,true,,,US,,,,Public,,public,,,RENTAL_CAR_RETURN,,,,,,,,,"[""QUICK_CONNECT"", ""ACME""]",,,,,,,,
LPG,U-Haul,2975 W State St,At Highway 126,Bristol,TN,37620,,423-968-1739,E,,Public,"7am-7pm M-Th and Sat, 7am-8pm F, 9am-5pm Sun",A Cash D M V,,,,,,,,,,200-9,36.59288,-82.220955,2021-06-07,19682,2021-06-07 17:37:37 UTC,P,,,2000-11-01,,,true,,,US,,,,Public,,public,,,RENTAL_CAR_RETURN,,,,,,,,,"[""QUICK_CONNECT"", ""ACME""]",,,,,,,,
LPG,U-Haul,4705 Clinton Hwy,North of I-640,Knoxville,TN,37912,,865-689-2211,E,,Public,"7am-7pm M-Th and Sat, 7am-8pm F, 9am-5pm Sun",A Cash D M V,,,,,,,,,,200-9,35.999905,-83.97261,2021-06-07,19683,2021-06-07 17:37:37 UTC,P,,,2000-11-01,,,false,,,US,,,,Public,,public,,,RENTAL_CAR_RETURN,,,,,,,,,"[""QUICK_CONNECT"", ""ACME""]",,,,,,,,
LPG,U-Haul,7209 Kingston Pike SW,East of West Town Mall,Knoxville,TN,37919,,865-584-8608,E,,Public,"7am-7pm M-Th and Sat, 7am-8pm F, 9am-5pm Sun",A Cash D M V,,,,,,,,,,200-9,35.931011,-84.02858,2021-06-07,19685,2021-06-07 17:37:37 UTC,P,,,2000-11-01,,,true,,,US,,,,Public,,public,,,RENTAL_CAR_RETURN,,,,,,,,,"[""QUICK_CONNECT"", ""ACME""]",,,,,,,,
LPG,U-Haul,10833 Kingston Pike SW,West of Lovell Rd,Knoxville,TN,37934,,865-312-8175,E,,Public,"7am-7pm M-Th and Sat, 7am-8pm F, 9am-5pm Sun",A Cash D M V,,,,,,,,,,200-9,35.893982,-84.144295,2021-06-07,19687,2021-06-07 17:37:37 UTC,P,,,2000-11-01,,,false,,,US,,,,Public,,public,,,RENTAL_CAR_RETURN,,,,,,,,,"[""QUICK_CONNECT"", ""ACME""]",,,,,,,,
LPG,U-Haul,3020 Lamar Ave,North of I-240,Memphis,TN,38114,,901-743-1993,E,,Public,"7am-7pm M-Th and Sat, 7am-8pm F, 9am-5pm Sun",A Cash D M V,,,,,,,,,,200-9,35.086247,-89.961313,2021-06-07,19693,2021-06-07 17:37:37 UTC,P,,,2000-11-01,,,true,,,US,,,,Public,,public,,,RENTAL_CAR_RETURN,,,,,,,,,"[""QUICK_CONNECT"", ""ACME""]",,,,,,,,
LPG,U-Haul,3561 Mendenhall Rd,"South of I-240, at Winchester",Memphis,TN,38115,,901-366-2624,E,,Public,"7am-7pm M-Th and Sat, 7am-8pm F, 9am-5pm Sun",A Cash D M V,,,,,,,,,,200-9,35.051569,-89.886731,2021-06-07,19694,2021-06-07 17:37:37 UTC,P,,,2000-11-01,,,true,,,US,,,,Public,,public,,,RENTAL_CAR_RETURN,,,,,,,,,"[""QUICK_CONNECT"", ""ACME""]",,,,,,,,
LPG,U-Haul,1364 E Shelby Dr,Between Elvis Presley and Mill Branch,Memphis,TN,38116,,901-332-6603,E,,Public,"7am-7pm M-Th and Sat, 7am-8pm F, 9am-5pm Sun",A Cash D Debit M V,,,,,,,,,,200-9,35.021787,-90.018291,2021-06-07,19695,2021-06-07 17:37:37 UTC,P,,,2000-11-01,,,true,,,US,,,,Public,,public,,,RENTAL_CAR_RETURN,,,,,,,,,"[""QUICK_CONNECT"", ""ACME""]",,,,,,,,
LPG,U-Haul,5315 Summer Ave,East of I-240,Memphis,TN,38122,,901-767-1663,E,,Public,"7am-7pm M-Th and Sat, 7am-8pm F, 9am-5pm Sun",A Cash D M V,,,,,,,,,,200-9,35.156709,-89.883324,2021-06-07,19696,2021-06-07 17:37:37 UTC,P,,,2000-11-01,,,false,,,US,,,,Public,,public,,,RENTAL_CAR_RETURN,,,,,,,,,"[""ACME""]",,,,,,,,
LPG,U-Haul,173 Airways Blvd,Between Hollywood and Lambuth,Jackson,TN,38301,,731-424-7360,E,,Public,"7am-7pm M-Th and Sat, 7am-8pm F, 9am-5pm Sun",A Cash D M V,,,,,,,,,,200-9,35.616308,-88.827415,2021-06-07,19701,2021-06-07 17:37:37 UTC,P,,,2000-11-01,,,true,,,US,,,,Public,,public,,,RENTAL_CAR_RETURN,,,,,,,,,"[""QUICK_CONNECT"", ""ACME""]",,,,,,,,
LPG,Plateau Propane Gas,3720 S York Hwy,,Jamestown,TN,38556,,931-863-3815,E,,Public - Call ahead,8am-5pm M-F,A Cash D M V,,,,,,,,,,GPS,36.197866,-85.02051,2021-09-10,26200,2021-09-10 19:40:26 UTC,P,,,2004-12-16,,,false,,,US,,,,Public - Appeler à l'avance,,public,CALL,,FUEL_RESELLER,,,,,,,,,"[""ACME""]",,,,,,,,
LPG,Cumberland River Propane Gas,4855 Highway 431 N,,Springfield,TN,37172,,615-384-0126,E,,Public - Call ahead,8am-4pm M-F,A Cash D M V,,,,,,,,,,GPS,36.555734,-86.863253,2019-08-08,26219,2021-03-18 15:39:47 UTC,P,,,2004-12-16,,,false,,,US,,,,Public - Appeler à l'avance,,public,CALL,,FUEL_RESELLER,,,,,,,,,,,,,,,,,
E85,Oak Ridge National Laboratory,1 Bethel Valley Rd,,Oak Ridge,TN,37932,,,E,,Private,DOE fleet use only,,,,,,,,,,,GPS,35.934411,-84.300064,2021-02-22,26856,2021-03-04 18:40:37 UTC,FG,8,U.S. Department of Energy,2004-03-15,,,,false,,US,,,,Privé,,private,,DOE,RESEARCH_FACILITY,,,,,,,,,,,,,,,,,
E85,National Electric Service Public Utility,1214 Church St,,Nashville,TN,37246,,,E,,Private - Government only,24 hours daily,,,,,,,,,,,200-9,36.159388,-86.790645,2021-02-15,26872,2021-03-04 18:40:37 UTC,P,,,2000-06-15,,,,false,,US,,,,Privé - Réservé au gouvernement,,private,GOVERNMENT,,UTILITY,,,,,,,,,,,,,,,,,
CNG,Sevier County Utility District,420 Robert Henderson Rd,,Sevierville,TN,37862,,865-453-3272,E,,Private,,,,T,3600,,,,,,,200-8,35.869632,-83.540182,2020-08-05,27301,2021-11-10 18:52:24 UTC,T,,,1997-09-15,,MD,,,,US,,,,Privé,,private,,,UTILITY,,NONE,,,,,,,,,,T,3600,MD,,,
BD,Great Smoky Mountains National Park - Oconaluftee,107 Park Headquarters Rd,,Gatlinburg,TN,28719,,,E,,Private,,,B20,,,,,,,,,GPS,35.515347,-83.305407,2021-05-06,31494,2021-05-06 13:19:19 UTC,FG,16,Department of the Interior,2007-03-15,,,,,,US,,,,Privé,,private,,DOI,NATL_PARK,,,,,,,,,,,,,,,,,
BD,Great Smoky Mountains National Park - Cades Cove,Stillhouse Branch,,Townsend,TN,37882,,,E,,Private,,,B20,,,,,,,,,GPS,35.601939,-83.777511,2021-02-22,31497,2021-03-04 18:40:37 UTC,FG,16,Department of the Interior,2007-03-15,,,,,,US,,,,Privé,,private,,DOI,NATL_PARK,,,,,,,,,,,,,,,,,
E85,Pilot Food Mart #105,206 Walker Springs Rd,"I-40/I-75, Exit 379",Knoxville,TN,37923,,865-694-8160,E,,Public,24 hours daily,A Cash D M V Voyager Wright_Exp,,,,,,,,,,200-8,35.924901,-84.06611,2020-08-05,31865,2021-03-04 18:40:37 UTC,P,,,2007-06-15,,,,false,,US,,,,Public,,public,,,CONVENIENCE_STORE,,,,,,,,,,,,,,,,,
E85,Twice Daily #6603,150 Long Hollow Pike,"I-65, Exit 97",Goodlettsville,TN,37072,,615-851-1877,E,,Public,24 hours daily,A Cash D M V Voyager Wright_Exp,,,,,,,,,,200-9,36.323459,-86.708259,2021-09-10,31976,2021-09-10 19:40:26 UTC,P,,,2007-06-15,,,,false,,US,,,,Public,,public,,,CONVENIENCE_STORE,,,,,,,,,,,,,,,,,
E85,Twice Daily #6135,911 S Hartmann Dr,"I-40, Exit 236",Lebanon,TN,37090,,615-453-5409,E,,Public,24 hours daily,A Cash D M V Voyager Wright_Exp,,,,,,,,,,200-8,36.188573,-86.326256,2021-09-10,32105,2021-09-10 19:40:26 UTC,P,,,2007-04-15,,,,false,,US,,,,Public,,public,,,CONVENIENCE_STORE,,,,,,,,,,,,,,,,,
BD,Twice Daily #6603,150 Long Hollow Pike,"I-65, Exit 97",Goodlettsville,TN,37072,,615-851-1877,E,,Public,24 hours daily,A Cash D M V Voyager Wright_Exp,B20,,,,,,,,,200-9,36.323459,-86.708259,2021-09-10,32489,2021-09-10 19:40:26 UTC,P,,,2007-03-15,,,,,,US,,,,Public,,public,,,CONVENIENCE_STORE,,,,,,,,,,,,,,,,,
E85,Speedway #7138,8281 Tridon Dr,"I-24, Exit 70",Smyrna,TN,37167,,615-355-7073,E,,Public,24 hours daily,A Cash D M V Voyager Wright_Exp,,,,,,,,,,200-9,35.935309,-86.529881,2021-09-10,32521,2021-09-10 19:40:26 UTC,P,,,2019-06-15,,,,false,,US,,,,Public,,public,,,CONVENIENCE_STORE,,,,,,,,,,,,,,,,,
BD,Daily's Travel Center #6604,601 Fesslers Ln,"I-40, Exit 212",Nashville,TN,37210,,615-242-2566,E,,Public,24 hours daily,A Cash D M V Voyager,B20,,,,,,,,,200-9,36.144133,-86.744725,2021-01-14,32720,2021-07-20 01:47:15 UTC,P,,,2007-01-01,,,,,,US,,,,Public,,public,,,CONVENIENCE_STORE,,,,,,,,,,,,,,,,,
E85,Pilot Food Mart #104,9550 Northshore Dr,"I-140, Exit 5",Knoxville,TN,37922,,865-692-9751,E,,Public,24 hours daily,A Cash D M V Voyager Wright_Exp,,,,,,,,,,200-9,35.859863,-84.069847,2020-08-05,32752,2021-03-04 18:40:37 UTC,P,,,2007-11-01,,,,false,,US,,,,Public,,public,,,CONVENIENCE_STORE,,,,,,,,,,,,,,,,,
E85,Twice Daily #8863,4040 Hillsboro Pike,"I-440, Exit 3",Nashville,TN,37215,,615-298-5745,E,,Public,24 hours daily,A Cash D FleetOne M V,,,,,,,,,,200-9,36.102931,-86.815943,2021-09-10,33359,2021-09-10 19:40:26 UTC,P,,,2008-06-01,,,,false,,US,,,,Public,,public,,,CONVENIENCE_STORE,,,,,,,,,,,,,,,,,
E85,Quik Mart #14,1102 Nashville Hwy,,Columbia,TN,38401,,931-388-8557,E,,Public,24 hours daily,A Cash Checks D M V Voyager Wright_Exp,,,,,,,,,,200-9,35.636174,-87.016531,2020-09-03,33816,2021-03-04 18:40:37 UTC,P,,,2020-01-17,,,,false,,US,,,,Public,,public,,,CONVENIENCE_STORE,,,,,,,,,,,,,,,,,
E85,Quik Mart #10,800 N Ellington Pkwy,,Lewisburg,TN,37091,,931-359-1001,E,,Public,24 hours daily,A Cash Checks D FuelMan M V Voyager Wright_Exp,,,,,,,,,,200-9,35.461838,-86.782317,2020-09-03,33818,2021-03-04 18:40:37 UTC,P,,,2007-08-01,,,,false,,US,,,,Public,,public,,,CONVENIENCE_STORE,,,,,,,,,,,,,,,,,
LPG,Allgas Inc of Tennessee,307 W College St,,Fayetteville,TN,37334,,931-433-1084  931-433- 0101,E,,Public - Call ahead,8am-5pm M-F,Cash Checks D M V,,,,,,,,,,200-9,35.152955,-86.574012,2021-09-10,34245,2021-09-10 19:40:26 UTC,P,,,2009-05-11,,,false,,,US,,,,Public - Appeler à l'avance,,public,CALL,,FUEL_RESELLER,,,,,,,,,"[""ACME""]",,,,,,,,
LPG,Allgas Inc of Tennessee,8444 Manchester Hwy,McMinnville,Morrison,TN,37357,,931-635-2995  800-208-5050,E,,Public - Call ahead,8am-5pm M-F,Cash D M V,,,,,,,,,,200-9,35.616462,-85.893167,2021-09-10,34246,2021-09-10 19:40:26 UTC,P,,,2009-05-11,,,false,,,US,,,,Public - Appeler à l'avance,,public,CALL,,FUEL_RESELLER,,,,,,,,,"[""ACME""]",,,,,,,,
E85,Exxon - Zoomerz #67,935 N Kentucky St,I-40 exit 352,Kingston,TN,37763,,865-376-5004,E,,Public,24 hours daily,A Cash D M V Voyager Wright_Exp,,,,,,,,,,200-9,35.87974,-84.508911,2020-08-05,35025,2021-11-14 23:35:29 UTC,P,,,2009-07-15,,,,false,,US,,,,Public,,public,,,CONVENIENCE_STORE,,,,,,,,,,,,,,,,,
ELEC,METRO NASHVILLE FULTON GARAGE 1,800 2nd Avenue South,,Nashville,TN,37210,,888-758-4389,E,,Public,24 hours daily,,,,,,1,,,ChargePoint Network,http://www.chargepoint.com/,GPS,36.153492,-86.76732,2021-12-01,35165,2021-12-01 00:30:49 UTC,,,,2009-08-15,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
BD,Pilot Travel Center #114,2449 Genesis Rd,"I-40, Exit 172",Crossville,TN,38571,,931-787-1901,E,,Public,24 hours daily,A Cash D M V Voyager Wright_Exp,B20,,,,,,,,,200-9,35.9859,-85.012878,2020-08-05,35517,2021-03-04 18:40:37 UTC,P,,,2010-03-01,,,,,,US,,,,Public,,public,,,TRAVEL_CENTER,,,,,,,,,,,,,,,,,
E85,Pilot Travel Center #114,2449 Genesis Rd,"I-40, Exit 172",Crossville,TN,38571,,931-787-1901,E,,Public,24 hours daily,A Cash D M V Voyager Wright_Exp,,,,,,,,,,200-9,35.9859,-85.012878,2020-08-05,35548,2021-03-04 18:40:37 UTC,P,,,2010-03-01,,,,false,,US,,,,Public,,public,,,TRAVEL_CENTER,,,,,,,,,,,,,,,,,
E85,Thorntons #610,1049 Long Hollow Pike,,Gallatin,TN,37066,,615-230-8133,E,,Public,24 hours daily,A Cash D M V Voyager Wright_Exp,,,,,,,,,,200-9,36.386594,-86.479936,2021-09-10,35550,2021-09-10 19:40:26 UTC,P,,,2010-03-01,,,,false,,US,,,,Public,,public,,,CONVENIENCE_STORE,,,,,,,,,,,,,,,,,
E85,Pilot Travel Center #219,7210 Strawberry Plains Pike,"I-40, Exit 398",Knoxville,TN,37914,,865-544-1067,E,,Public,24 hours daily,A Cash D M V Voyager Wright_Exp,,,,,,,,,,200-9,35.998219,-83.778114,2020-08-05,35553,2021-03-04 18:40:37 UTC,P,,,2010-03-01,,,,false,,US,,,,Public,,public,,,TRAVEL_CENTER,,,,,,,,,,,,,,,,,
E85,Kroger #594,4900 Port Royal Rd,,Spring Hill,TN,37174,,931-560-2141,E,,Public,6am-10pm daily,A Cash Checks D M V Wright_Exp,,,,,,,,,,200-9,35.741419,-86.892386,2020-08-05,35554,2021-03-04 18:40:37 UTC,P,,,2008-12-01,,,,false,,US,,,,Public,,public,,,GROCERY,,,,,,,,,,,,,,,,,
E85,Shell - Quick Mart #3,600 S Jackson,,Tullahoma,TN,37388,,931-454-0479,E,,Public,24 hours daily,A Cash Checks D FuelMan GasCard M V Voyager Wright_Exp,,,,,,,,,,200-9,35.355506,-86.206427,2021-01-14,35640,2021-03-04 18:40:37 UTC,P,,,2010-05-15,,,,false,,US,,,,Public,,public,,,CONVENIENCE_STORE,,,,,,,,,,,,,,,,,
CNG,Citizens Gas Utility District,1106 Knoxville Hwy,,Wartburg,TN,37887,,,E,,Private,,,,Q,3600,,,,,,,200-8,36.103618,-84.58553,2021-10-12,36268,2021-10-12 12:58:36 UTC,T,,,2010-11-15,,HD,,,,US,,,,Privé,,private,,,UTILITY,,,,,,,,,,,,Q,3600,HD,,,
E85,Thorntons #601,768 E Main St,,Hendersonville,TN,37075,,615-264-0106,E,,Public,24 hours daily,A Cash Checks D M V Voyager Wright_Exp,,,,,,,,,,200-9,36.327259,-86.562805,2021-09-10,37557,2021-09-10 19:40:26 UTC,P,,,2010-12-31,,,,false,,US,,,,Public,,public,,,CONVENIENCE_STORE,,,,,,,,,,,,,,,,,
E85,Thorntons #604,317 Myatt Dr,,Madison,TN,37115,,615-860-0443,E,,Public,24 hours daily,A Cash Checks D M V Voyager Wright_Exp,,,,,,,,,,200-9,36.271258,-86.689078,2021-09-10,37559,2021-09-10 19:40:26 UTC,P,,,2010-12-31,,,,false,,US,,,,Public,,public,,,CONVENIENCE_STORE,,,,,,,,,,,,,,,,,
E85,Thorntons #605,927 Old Fort Pkwy,,Murfreesboro,TN,37129,,615-893-5109,E,,Public,24 hours daily,A Cash Checks D M V Voyager Wright_Exp,,,,,,,,,,200-9,35.846168,-86.407244,2021-09-10,37560,2021-09-10 19:40:26 UTC,P,,,2010-12-31,,,,false,,US,,,,Public,,public,,,CONVENIENCE_STORE,,,,,,,,,,,,,,,,,
E85,Thorntons #608,7102 Charlotte Pike,"I-40, Exit 201",Nashville,TN,37209,,615-354-8744,E,,Public,24 hours daily,A Cash Checks D M V Voyager Wright_Exp,,,,,,,,,,200-9,36.128087,-86.908172,2021-09-10,37561,2021-09-10 19:40:26 UTC,P,,,2010-12-31,,,,false,,US,,,,Public,,public,,,CONVENIENCE_STORE,,,,,,,,,,,,,,,,,
E85,Thorntons #602,714 Stewarts Ferry Pike,"I-40, Exit 219",Nashville,TN,37214,,615-883-2250,E,,Public,24 hours daily,A Cash Checks D M V Voyager Wright_Exp,,,,,,,,,,200-9,36.152713,-86.625704,2021-09-10,37633,2021-09-10 19:40:26 UTC,P,,,2010-12-10,,,,false,,US,,,,Public,,public,,,CONVENIENCE_STORE,,,,,,,,,,,,,,,,,
ELEC,Oak Ridge Nissan,101 S Illinois Ave,,Oak Ridge,TN,37830,,865-482-5489,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-9,36.010279,-84.268049,2020-06-09,39705,2021-03-11 23:22:17 UTC,P,,,2011-03-15,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,
ELEC,Newton Nissan South,2801 Highway 231 N,,Shelbyville,TN,37160,,931-684-6811,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-9,35.558371,-86.448276,2020-06-09,39707,2021-03-11 23:22:17 UTC,P,,,2011-03-15,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,
ELEC,Mountain View Nissan,2100 S Market St,,Chattanooga,TN,37408,,423-756-1500,E,,Public - Call ahead,Dealership business hours,,,,,,1,1,,Non-Networked,,200-9,35.030251,-85.308376,2020-06-09,39802,2021-03-11 23:22:17 UTC,P,,,2011-03-15,,,,,CHADEMO J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,
ELEC,Harold Mathews Nissan,185 Highway 76,,Clarksville,TN,37043,,931-552-7555,E,,Public - Call ahead,Dealership business hours,,,,,,1,1,,Non-Networked,,200-9,36.513006,-87.268667,2020-06-09,39803,2021-03-11 23:22:17 UTC,P,,,2011-03-15,,,,,CHADEMO J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,
ELEC,Cookeville Nissan,501 Neal St,,Cookeville,TN,38501,,931-528-7715,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-9,36.137109,-85.496453,2020-06-09,39805,2021-03-11 23:22:17 UTC,P,,,2011-03-15,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,
ELEC,Victory Nissan West,2219 Highway 46 S,,Dickson,TN,37055,,615-446-7070,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-9,36.023934,-87.340223,2020-06-09,39806,2021-03-11 23:22:17 UTC,P,,,2011-03-15,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,
ELEC,Rick Hill Nissan,2700 Parr Ave,,Dyersburg,TN,38024,,731-285-6294,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-9,36.063277,-89.379485,2020-06-09,39807,2021-03-11 23:22:17 UTC,P,,,2011-03-15,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,
ELEC,Nissan of Cool Springs,212 Comtide Ct,,Franklin,TN,37067,,615-790-2500,E,,Public - Call ahead,Dealership business hours,,,,,,1,1,,Non-Networked,,200-8,35.957857,-86.80853,2020-06-09,39808,2021-03-11 23:22:17 UTC,P,,,2011-03-15,,,,,CHADEMO J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,
